Player,Season,PP_TOI,PP_G,PP_A1,PP_A2,PP_A,PP_P,PP_P1,PP_G60,PP_A160,PP_A260,PP_A60,PP_P60,PP_P160,PP_iCF,PP_iCF60,PP_iCSh%,PP_iFF,PP_iFF60,PP_iFSh%,PP_iSF,PP_iSF60,PP_iSh%,PP_ixG,PP_ixG60,PP_ixFSh%,PP_iSCF,PP_iSCF60,PP_iHF,PP_iHA,PP_iGVA,PP_iTKA,PP_iBLK,PP_iFOW,PP_iFOL,PP_iFO%,PP_iPENT,PP_iPEND,PP_iPENDIFF,PP_iRB,PP_iRS,PP_Avg.DIST
ADAM.LARSSON,20112012,113.28,0,2,1,3,3,2,0,1.06,0.53,1.59,1.59,1.06,24,12.71,0,12,6.36,0,7,3.71,0,0.5,0.27,4.18,0,0,2,3,6,0,1,0,0,0,1,0,-1,1,0,52.17
ADAM.LARSSON,20142015,33.2,0,0,0,0,0,0,0,0,0,0,0,0,5,9.04,0,4,7.23,0,4,7.23,0,0.15,0.27,3.76,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,53.48
ADAM.LARSSON,20152016,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,-2,0,0,0
ADAM.LOWRY,20142015,54.96,0,1,2,3,3,1,0,1.09,2.18,3.28,3.28,1.09,8,8.73,0,6,6.55,0,2,2.18,0,0.79,0.86,13.1,4,4.37,2,6,0,0,0,15,11,57.69,3,1,-2,0,0,16.26
ADRIAN.AUCOIN,20112012,42.92,1,0,0,0,1,1,1.4,0,0,0,1.4,1.4,11,15.38,9.09,8,11.18,12.5,5,6.99,20,0.34,0.48,4.31,0,0,2,0,0,1,0,0,0,0,3,0,-3,0,0,53.95
ALEC.MARTINEZ,20112012,94.34,2,3,1,4,6,5,1.27,1.91,0.64,2.54,3.82,3.18,42,26.71,4.76,29,18.44,6.9,20,12.72,10,1.65,1.05,5.7,3,1.91,0,4,2,1,1,0,0,0,1,1,0,3,0,41.71
ALEC.MARTINEZ,20122013,59.5525,0,0,1.708333333,1.708333333,1.708333333,0,0,0,1.72,1.72,1.72,0,13.66666667,13.77,0,8.541666667,8.61,0,1.708333333,1.72,0,0.392916667,0.4,4.69,0,0,0,1.708333333,1.708333333,0,0,0,0,0,1.708333333,0,-1.708333333,0,0,33.52
ALEC.MARTINEZ,20132014,125.7,3,2,3,5,8,5,1.43,0.95,1.43,2.39,3.82,2.39,60,28.64,5,38,18.14,7.89,25,11.93,12,3.03,1.45,7.98,12,5.73,5,3,2,2,1,0,0,0,0,0,0,3,4,39.97
ALEC.MARTINEZ,20142015,116.88,1,3,0,3,4,4,0.51,1.54,0,1.54,2.05,2.05,52,26.69,1.92,32,16.43,3.12,18,9.24,5.56,1.39,0.71,4.33,1,0.51,3,2,1,0,2,0,0,0,1,0,-1,0,1,45.01
ALEC.MARTINEZ,20152016,161.53,4,6,3,9,13,10,1.49,2.23,1.11,3.34,4.83,3.71,82,30.46,4.88,54,20.06,7.41,38,14.12,10.53,2.59,0.96,4.8,2,0.74,2,1,6,1,6,0,0,0,2,0,-2,2,0,45.8
