Player,Season,GP,TOI,CF,CA,CF60,CA60,CF%,CSh%,CSv%,FF,FA,FF60,FA60,FF%,FSh%,FSv%,SF,SA,SF60,SA60,SF%,Sh%,Sv%,xGF,xGA,xGF60,xGA60,xGF%,xFSh%,xFSv%,Adj.FSv%,SCF,SCA,SCF60,SCA60,SCF%,PDO,xPDO,GF,GA,GF60,GA60,GF%,FO%,PENDIFF
ALEX.SEMIN,20142015,57,778.37,769,606,59.28,46.71,55.93,3.77,94.39,547,454,42.17,35,54.65,5.3,92.51,371,338,28.6,26.05,52.33,7.82,89.94,33.71,30.15,2.6,2.32,52.78,6.16,93.36,-0.85,119,110,9.17,8.48,51.97,97.76,99.52,29,34,2.24,2.62,46.03,52.36,21
ALEX.SEMIN,20152016,15,148.81,167,134,67.33,54.03,55.48,4.19,96.27,122,98,49.19,39.51,55.45,5.74,94.9,86,71,34.68,28.63,54.78,8.14,92.96,6.9,5.92,2.78,2.39,53.83,5.66,93.96,0.94,21,23,8.47,9.27,47.73,101.1,99.62,7,5,2.82,2.02,58.33,51.06,5
ALEX.STEEN,20112012,43,584.58,662,438,67.95,44.96,60.18,4.68,97.72,491,314,50.4,32.23,60.99,6.31,96.82,355,233,36.44,23.91,60.37,8.73,95.71,28.07,17.86,2.88,1.83,61.11,5.72,94.31,2.5,88,60,9.03,6.16,59.46,104.44,100.03,31,10,3.18,1.03,75.61,51.18,10
ALEX.STEEN,20122013,68.33333333,921.7654167,919.0833333,767.0416667,59.83,49.93,54.51,4.83,95.77,715.7916667,565.4583333,46.59,36.81,55.87,6.21,94.26,509.0833333,396.3333333,33.14,25.8,56.23,8.72,91.81,23.96,21.18,2.66,2.36,53.08,5.72,93.6,0.66,133.25,111.0416667,8.67,7.23,54.55,100.54,99.32,44.41666667,32.45833333,2.89,2.11,57.78,52.87,-1.708333333
ALEX.STEEN,20132014,68,923.81,987,742,64.1,48.19,57.09,4.66,95.01,730,542,47.41,35.2,57.39,6.3,93.17,514,364,33.38,23.64,58.54,8.95,89.84,40.08,30.58,2.6,1.99,56.73,5.49,94.36,-1.19,125,107,8.12,6.95,53.88,98.78,99.85,46,37,2.99,2.4,55.42,50.24,5
ALEX.STEEN,20142015,74,1011.51,1016,916,60.27,54.33,52.59,5.02,95.63,790,672,46.86,39.86,54.04,6.46,94.05,562,480,33.34,28.47,53.93,9.07,91.67,49.36,39.57,2.93,2.35,55.51,6.25,94.11,-0.06,158,119,9.37,7.06,57.04,100.74,100.36,51,40,3.03,2.37,56.04,53.05,1
ALEX.STEEN,20152016,67,941.04,883,878,56.3,55.98,50.14,4.19,96.58,653,639,41.63,40.74,50.54,5.67,95.31,487,454,31.05,28.95,51.75,7.6,93.39,37.25,38.93,2.37,2.48,48.89,5.7,93.91,1.4,119,129,7.59,8.22,47.98,100.99,99.61,37,30,2.36,1.91,55.22,49.4,-13
ALEX.SULZER,20112012,27,437.29,428,394,58.73,54.06,52.07,5.84,95.94,316,307,43.36,42.12,50.72,7.91,94.79,227,232,31.15,31.83,49.46,11.01,93.1,19.33,18.49,2.65,2.54,51.12,6.12,93.98,0.81,65,64,8.92,8.78,50.39,104.12,100.1,25,16,3.43,2.2,60.98,51.85,12
ALEX.SULZER,20122013,29.04166667,415.4154167,420.25,399.75,60.7,57.74,51.25,4.47,96.15,295.5416667,292.125,42.69,42.19,50.29,6.36,94.74,216.9583333,208.4166667,31.34,30.1,51,8.66,92.62,10.69,11.36,2.64,2.8,48.48,6.18,93.35,1.38,64.91666667,82,9.38,11.84,44.19,101.28,99.54,18.79166667,15.375,2.71,2.22,55,49.18,17.08333333
ALEX.SULZER,20132014,25,368.69,295,419,48.01,68.19,41.32,2.71,97.37,225,305,36.62,49.64,42.45,3.56,96.39,153,212,24.9,34.5,41.92,5.23,94.81,14.14,18.03,2.3,2.93,43.95,6.28,94.09,2.3,55,65,8.95,10.58,45.83,100.04,100.37,8,11,1.3,1.79,42.11,50.27,4
ALEX.TANGUAY,20112012,64,851.19,721,867,50.82,61.11,45.4,5.83,96.42,537,645,37.85,45.47,45.43,7.82,95.19,369,450,26.01,31.72,45.05,11.38,93.11,36.45,37.68,2.57,2.66,49.17,6.79,94.16,1.03,124,116,8.74,8.18,51.67,104.49,100.95,42,31,2.96,2.19,57.53,45.98,1
ALEX.TANGUAY,20122013,68.33333333,963.1754167,818.2916667,919.0833333,50.97,57.25,47.1,4.18,93.87,611.5833333,674.7916667,38.1,42.04,47.54,5.59,91.65,432.2083333,490.2916667,26.92,30.54,46.85,7.91,88.5,21.84,24.3,2.32,2.59,47.33,6.1,93.85,-2.2,141.7916667,143.5,8.83,8.94,49.7,96.41,99.95,34.16666667,56.375,2.13,3.51,37.74,47.68,-6.833333333
ALEX.TANGUAY,20132014,16,206.32,174,190,50.6,55.25,47.8,7.47,96.32,131,142,38.1,41.3,47.99,9.92,95.07,106,107,30.83,31.12,49.77,12.26,93.46,8.5,8.97,2.47,2.61,48.66,6.49,93.68,1.39,30,27,8.72,7.85,52.63,105.72,100.17,13,7,3.78,2.04,65,55.07,2
ALEX.TANGUAY,20142015,80,1059.87,867,1168,49.08,66.12,42.6,5.42,95.72,623,841,35.27,47.61,42.55,7.54,94.05,463,613,26.21,34.7,43.03,10.15,91.84,37.01,51.74,2.1,2.93,41.7,5.94,93.85,0.21,130,186,7.36,10.53,41.14,101.99,99.79,47,50,2.66,2.83,48.45,51.78,2
ALEX.TANGUAY,20152016,70,860.01,794,951,55.39,66.35,45.5,5.04,96.95,603,695,42.07,48.49,46.46,6.63,95.83,456,487,31.81,33.98,48.36,8.77,94.05,33.41,40.29,2.33,2.81,45.33,5.54,94.2,1.62,117,141,8.16,9.84,45.35,102.82,99.74,40,29,2.79,2.02,57.97,54.87,-3
ALEX.URBOM,20112012,5,62.6,41,52,39.3,49.84,44.09,9.76,92.31,35,43,33.55,41.21,44.87,11.43,90.7,29,36,27.8,34.5,44.62,13.79,88.89,2.23,3.32,2.14,3.18,40.2,6.37,92.29,-1.59,8,13,7.67,12.46,38.1,102.68,98.66,4,4,3.83,3.83,50,51.72,2
ALEX.URBOM,20132014,20,245.89,205,255,50.02,62.22,44.57,3.9,97.25,156,195,38.07,47.58,44.44,5.13,96.41,109,149,26.6,36.36,42.25,7.34,95.3,8.7,10.46,2.12,2.55,45.4,5.58,94.64,1.77,26,34,6.34,8.3,43.33,102.64,100.21,8,7,1.95,1.71,53.33,52.42,-6
ALEX.WENNBERG,20142015,68,790.43,670,703,50.86,53.36,48.8,3.13,94.03,492,550,37.35,41.75,47.22,4.27,92.36,364,404,27.63,30.67,47.4,5.77,89.6,27.74,32.06,2.11,2.43,46.39,5.64,94.17,-1.81,98,110,7.44,8.35,47.12,95.37,99.81,21,42,1.59,3.19,33.33,43.93,3
ALEX.WENNBERG,20152016,69,827.02,780,801,56.59,58.11,49.34,4.62,96,576,589,41.79,42.73,49.44,6.25,94.57,404,404,29.31,29.31,50,8.91,92.08,37.64,35.13,2.73,2.55,51.72,6.53,94.04,0.53,148,133,10.74,9.65,52.67,100.99,100.57,36,32,2.61,2.32,52.94,44.05,6
