Player,Season,G,A1,A2,A,P,P1,G60,A160,A260,A60,P60,P160,iCF,iCF60,iCSh%,iFF,iFF60,iFSh%,iSF,iSF60,iSh%,ixG,ixG60,ixFSh%,iSCF,iSCF60,iHF,iHA,iGVA,iTKA,iBLK,iFOW,iFOL,iFO%,iPENT,iPEND,iPENDIFF,iRB,iRS,Avg.DIST
ANDREW.BRUNETTE,20112012,7,10,2,12,19,17,0.49,0.7,0.14,0.85,1.34,1.2,91,6.41,7.69,76,5.35,9.21,59,4.15,11.86,7.58,0.53,9.97,32,2.25,19,95,12,14,13,6,5,54.55,3,4,1,7,1,18.76
ANDREW.CAMPBELL,20142015,0,0,1,1,1,0,0,0,0.13,0.13,0.13,0,58,7.52,0,41,5.32,0,27,3.5,0,1.36,0.18,3.31,2,0.26,61,75,6,0,48,0,0,0,4,1,-3,1,1,40.67
ANDREW.CAMPBELL,20152016,0,0,1,1,1,0,0,0,0.91,0.91,0.91,0,3,2.73,0,3,2.73,0,1,0.91,0,0.14,0.13,4.69,1,0.91,5,11,1,1,9,0,0,0,1,1,0,1,0,61.38
ANDREW.COGLIANO,20112012,11,8,4,12,23,19,0.68,0.49,0.25,0.74,1.42,1.18,185,11.45,5.95,140,8.66,7.86,101,6.25,10.89,8.7,0.54,6.21,29,1.79,81,61,25,17,35,123,172,41.69,4,8,4,4,8,28.49
ANDREW.COGLIANO,20122013,15.375,10.25,6.833333333,17.08333333,32.45833333,25.625,0.87,0.58,0.39,0.97,1.83,1.45,196.4583333,11.1,7.83,140.0833333,7.92,10.98,111.0416667,6.27,13.85,9.857083333,0.56,7.03,32.45833333,1.83,66.625,61.5,25.625,13.66666667,32.45833333,41,80.29166667,33.8,5.125,8.541666667,3.416666667,6.833333333,3.416666667,27.62
ANDREW.COGLIANO,20132014,15,8,8,16,31,23,0.87,0.47,0.47,0.93,1.81,1.34,221,12.87,6.79,180,10.49,8.33,129,7.52,11.63,13.65,0.8,7.58,59,3.44,86,52,27,17,27,4,6,40,7,12,5,10,13,24.28
ANDREW.COGLIANO,20142015,11,11,1,12,23,22,0.66,0.66,0.06,0.72,1.38,1.32,206,12.39,5.34,159,9.56,6.92,109,6.56,10.09,10.68,0.64,6.72,37,2.23,130,73,30,21,25,6,15,28.57,0,11,0,10,13,29.05
ANDREW.COGLIANO,20152016,5,10,11,21,26,15,0.31,0.62,0.68,1.29,1.6,0.92,198,12.18,2.53,154,9.48,3.25,115,7.08,4.35,10,0.62,6.49,34,2.09,117,59,32,21,17,5,8,38.46,13,6,-7,3,17,27
ANDREW.COPP,20152016,7,4,2,6,13,11,0.77,0.44,0.22,0.66,1.43,1.21,83,9.16,8.43,63,6.95,11.11,52,5.74,13.46,5.8,0.64,9.21,25,2.76,84,35,14,8,12,199,224,47.04,1,6,5,3,4,23.32
ANDREW.DESJARDINS,20112012,4,8,4,12,16,12,0.37,0.74,0.37,1.12,1.49,1.12,129,11.99,3.1,105,9.76,3.81,79,7.34,5.06,5.05,0.47,4.81,13,1.21,93,115,24,34,38,183,163,52.89,8,9,1,5,2,31.62
ANDREW.DESJARDINS,20122013,3.416666667,1.708333333,0,1.708333333,5.125,5.125,0.33,0.16,0,0.16,0.49,0.49,143.5,13.69,2.38,114.4583333,10.92,2.99,83.70833333,7.99,4.08,8.114583333,0.77,7.09,20.5,1.96,88.83333333,99.08333333,18.79166667,8.541666667,35.875,49.54166667,29.04166667,63.04,11.95833333,17.08333333,5.125,6.833333333,5.125,24.08
